Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
14-Aug-24,EQ,6482.50,6489.95,6430.95,6465.05,6474.00,6458.50,6454.93,8192.00,6187.80,774276.00,4997895619.30,90976.00
13-Aug-24,EQ,6644.95,6644.95,6452.20,6608.15,6480.00,6465.05,6531.48,8192.00,6187.80,1072327.00,7003886318.05,120346.00
12-Aug-24,EQ,6619.10,6645.00,6564.05,6618.20,6600.00,6608.15,6608.56,8192.00,6187.80,674887.00,4460033263.25,57291.00
09-Aug-24,EQ,6700.00,6700.00,6591.00,6582.20,6625.00,6618.20,6613.81,8192.00,6187.80,699490.00,4626292347.20,68270.00
08-Aug-24,EQ,6625.05,6678.05,6571.35,6637.15,6578.00,6582.20,6616.64,8192.00,6187.80,690389.00,4568057247.85,69608.00
07-Aug-24,EQ,6600.00,6659.35,6581.10,6538.35,6634.00,6637.15,6631.03,8192.00,6187.80,464284.00,3078681121.25,50099.00
06-Aug-24,EQ,6626.00,6697.00,6511.50,6596.70,6554.90,6538.35,6583.77,8192.00,6187.80,891828.00,5871590364.80,89592.00
05-Aug-24,EQ,6650.00,6650.00,6532.60,6725.00,6600.00,6596.70,6587.04,8192.00,6187.80,944041.00,6218435946.90,96566.00
02-Aug-24,EQ,6725.00,6750.00,6673.10,6771.65,6720.80,6725.00,6723.48,8192.00,6187.80,622218.00,4183469919.40,78327.00
01-Aug-24,EQ,6831.50,6844.00,6750.00,6806.95,6768.00,6771.65,6793.27,8192.00,6187.80,839523.00,5703110032.25,79045.00
31-Jul-24,EQ,6826.95,6855.00,6793.00,6823.60,6809.45,6806.95,6821.38,8192.00,6187.80,889659.00,6068699460.50,72380.00
30-Jul-24,EQ,6812.45,6899.00,6783.00,6812.45,6807.10,6823.60,6840.00,8192.00,6187.80,1179413.00,8067189280.90,145013.00
29-Jul-24,EQ,6823.85,6855.00,6765.75,6789.75,6820.00,6812.45,6814.64,8192.00,6187.80,748565.00,5101201683.90,107143.00
26-Jul-24,EQ,6675.05,6808.40,6667.10,6647.75,6799.50,6789.75,6766.26,8192.00,6187.80,1110184.00,7511791200.10,144585.00
25-Jul-24,EQ,6560.00,6666.00,6551.45,6607.15,6660.00,6647.75,6624.67,8192.00,6187.80,950965.00,6299830192.90,87496.00
24-Jul-24,EQ,6630.00,6654.70,6541.05,6727.10,6614.90,6607.15,6582.68,8192.00,6187.80,3100626.00,20410439669.35,303652.00
23-Jul-24,EQ,6934.00,6944.85,6620.00,6884.25,6728.00,6727.10,6762.85,8192.00,6187.80,1932212.00,13067260412.85,203731.00
22-Jul-24,EQ,6932.00,6958.60,6849.40,6932.30,6892.00,6884.25,6906.89,8192.00,6187.80,575193.00,3972796913.85,52812.00
19-Jul-24,EQ,7110.00,7110.00,6910.00,7110.00,6923.00,6932.30,6994.75,8192.00,6187.80,938598.00,6565258706.05,97716.00
18-Jul-24,EQ,7047.10,7117.90,6971.15,7059.10,7104.00,7110.00,7059.68,8192.00,6187.80,864605.00,6103833864.20,103410.00
16-Jul-24,EQ,7080.00,7090.00,7005.20,7063.75,7045.00,7059.10,7056.65,8192.00,6187.80,558200.00,3939023748.00,52732.00
15-Jul-24,EQ,7020.05,7085.00,6995.25,7004.30,7060.00,7063.75,7052.13,8192.00,6187.80,533373.00,3761416959.10,55149.00
12-Jul-24,EQ,6996.95,7045.00,6915.05,6950.30,7008.00,7004.30,6989.82,8192.00,6187.80,1068833.00,7470950108.15,106238.00
11-Jul-24,EQ,7087.90,7087.90,6930.00,7054.95,6958.80,6950.30,6971.42,8192.00,6187.80,971801.00,6774835936.60,110645.00
10-Jul-24,EQ,7068.00,7129.35,7021.00,7068.05,7045.00,7054.95,7068.22,8192.00,6187.80,809714.00,5723233363.80,80417.00
09-Jul-24,EQ,7109.85,7142.40,7042.00,7098.25,7055.00,7068.05,7073.47,8192.00,6187.80,973503.00,6886046000.85,79828.00
08-Jul-24,EQ,7144.95,7147.65,7047.00,7138.00,7099.00,7098.25,7086.97,8192.00,6187.80,677705.00,4802876115.10,55085.00
05-Jul-24,EQ,7134.00,7149.90,7077.00,7107.05,7127.00,7138.00,7115.41,8192.00,6187.80,931079.00,6625012346.70,89558.00
04-Jul-24,EQ,7301.05,7325.00,7100.00,7258.80,7109.00,7107.05,7182.11,8192.00,6187.80,1897977.00,13631486626.25,133300.00
03-Jul-24,EQ,7189.95,7284.65,7170.00,7165.60,7265.40,7258.80,7234.45,8192.00,6187.80,836393.00,6050844929.95,82895.00
02-Jul-24,EQ,7275.00,7275.95,7122.00,7276.75,7158.80,7165.60,7173.56,8192.00,6187.80,1281027.00,9189527030.40,128205.00
01-Jul-24,EQ,7075.00,7304.00,7075.00,7115.55,7262.20,7276.75,7215.10,8192.00,6187.80,772745.00,5575435152.85,70472.00
28-Jun-24,EQ,7165.00,7226.00,7105.30,7166.75,7119.00,7115.55,7145.35,8192.00,6187.80,829584.00,5927671837.80,92953.00
27-Jun-24,EQ,7150.00,7239.00,7083.05,7158.20,7170.00,7166.75,7162.92,8192.00,6187.80,1137606.00,8148578517.55,138114.00
26-Jun-24,EQ,7070.00,7179.25,7035.00,7074.45,7148.00,7158.20,7118.57,8192.00,6187.80,912552.00,6496064378.15,90882.00
25-Jun-24,EQ,7101.00,7140.00,6998.00,7081.85,7082.05,7074.45,7062.32,8192.00,6187.80,1560811.00,11022940326.15,155247.00
24-Jun-24,EQ,7076.00,7106.95,7020.55,7134.25,7084.80,7081.85,7069.34,8192.00,6187.80,635654.00,4493652338.35,59207.00
21-Jun-24,EQ,7239.30,7265.00,7075.00,7207.10,7113.00,7134.25,7131.59,8192.00,6187.80,1499818.00,10696080598.05,147750.00
20-Jun-24,EQ,7220.00,7264.90,7111.00,7233.95,7215.00,7207.10,7184.01,8192.00,6187.80,900158.00,6466746499.10,110362.00
19-Jun-24,EQ,7334.70,7348.95,7177.90,7334.70,7234.15,7233.95,7255.43,8192.00,6187.80,520400.00,3775728250.45,62047.00
18-Jun-24,EQ,7365.00,7429.45,7300.00,7341.55,7321.00,7334.70,7360.56,8192.00,6187.80,946904.00,6969748285.60,97811.00
14-Jun-24,EQ,7296.05,7370.00,7247.00,7294.95,7340.50,7341.55,7326.50,8192.00,6187.80,1187488.00,8700131590.00,93722.00
13-Jun-24,EQ,7252.20,7325.00,7232.15,7217.75,7289.00,7294.95,7287.98,8192.00,6187.80,1345495.00,9805940005.85,102871.00
